id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1654,2015,2015-11-16,Hong Kong,normal,89,,MS Chapman,United Arab Emirates,Hong Kong,Hong Kong,bat,VA Kulkarni,Sarika Prasad,ICC Academy
1655,2016,2016-06-18,Sri Lanka,normal,136,,NA,Ireland,Sri Lanka,Ireland,field,M Hawthorne,BNJ Oxenford,"The Village, Malahide"
1656,2016,2016-06-21,NA,tie,,,CR Woakes,England,Sri Lanka,England,field,RJ Bailey,PR Reiffel,Trent Bridge
1657,2016,2016-06-24,England,normal,,10,JJ Roy,England,Sri Lanka,Sri Lanka,bat,MA Gough,BNJ Oxenford,Edgbaston
1658,2016,2016-06-26,NA,no result,,,NA,England,Sri Lanka,England,field,PR Reiffel,RT Robinson,County Ground
1659,2016,2016-06-29,England,normal,,6,JJ Roy,England,Sri Lanka,England,field,RJ Bailey,BNJ Oxenford,Kennington Oval
1660,2016,2016-07-02,England,normal,122,,JC Buttler,England,Sri Lanka,Sri Lanka,field,MA Gough,PR Reiffel,Sophia Gardens
1661,2016,2016-08-18,Pakistan,normal,255,,NA,Ireland,Pakistan,Ireland,field,SD Fry,M Hawthorne,"The Village, Malahide"
1662,2016,2016-08-24,England,normal,44,,JJ Roy,England,Pakistan,Pakistan,bat,RJ Bailey,SD Fry,The Rose Bowl
1663,2016,2016-08-27,England,normal,,4,JE Root,England,Pakistan,Pakistan,bat,M Erasmus,RT Robinson,Lord's
1664,2016,2016-08-30,England,normal,169,,AD Hales,England,Pakistan,England,bat,SD Fry,RA Kettleborough,Trent Bridge
1665,2016,2016-09-01,England,normal,,4,JM Bairstow,England,Pakistan,Pakistan,bat,M Erasmus,RT Robinson,Headingley
1666,2016,2016-09-04,Pakistan,normal,,4,Sarfraz Ahmed,England,Pakistan,Pakistan,field,RJ Bailey,SD Fry,Sophia Gardens
1667,2015,2015-12-26,New Zealand,normal,,7,MJ Henry,New Zealand,Sri Lanka,Sri Lanka,bat,MA Gough,PD Jones,Hagley Oval
1668,2015,2015-12-28,New Zealand,normal,,10,MJ Guptill,New Zealand,Sri Lanka,Sri Lanka,bat,RK Illingworth,DJ Walker,Hagley Oval
1669,2015,2015-12-31,Sri Lanka,normal,,8,MD Gunathilaka,New Zealand,Sri Lanka,New Zealand,bat,BF Bowden,MA Gough,Saxton Oval
1670,2016,2016-01-02,NA,no result,,,NA,New Zealand,Sri Lanka,Sri Lanka,field,BF Bowden,RK Illingworth,Saxton Oval
1671,2016,2016-01-05,New Zealand,normal,36,,MJ Henry,New Zealand,Sri Lanka,Sri Lanka,field,BF Bowden,MA Gough,Bay Oval
1672,2016,2016-01-25,New Zealand,normal,70,,HM Nicholls,New Zealand,Pakistan,Pakistan,field,NJ Llong,DJ Walker,Basin Reserve
1674,2016,2016-02-06,Australia,normal,,4,MR Marsh,New Zealand,Australia,New Zealand,bat,BF Bowden,S Ravi,Westpac Stadium
1675,2016,2016-02-08,New Zealand,normal,55,,IS Sodhi,New Zealand,Australia,Australia,field,IJ Gould,DJ Walker,Seddon Park
1676,2016,2016-01-31,New Zealand,normal,,3,MJ Guptill,New Zealand,Pakistan,Pakistan,bat,BF Bowden,NJ Llong,Eden Park
1677,2015,2015-11-01,Sri Lanka,normal,,1,TM Dilshan,Sri Lanka,West Indies,Sri Lanka,field,MA Gough,RSA Palliyaguruge,R Premadasa Stadium
1678,2015,2015-11-04,Sri Lanka,normal,,8,MDKJ Perera,Sri Lanka,West Indies,West Indies,bat,REJ Martinesz,RJ Tucker,R Premadasa Stadium
1679,2015,2015-11-07,Sri Lanka,normal,19,,MN Samuels,Sri Lanka,West Indies,Sri Lanka,field,MA Gough,RR Wimalasiri,Pallekele International Cricket Stadium
1680,2015,2015-11-03,New Zealand,normal,96,,NA,New Zealand,Sri Lanka,Sri Lanka,field,K Cross,PD Jones,Bert Sutcliffe Oval
1681,2015,2015-11-05,New Zealand,normal,,10,NA,New Zealand,Sri Lanka,New Zealand,field,K Cross,WR Knights,Bert Sutcliffe Oval
1682,2016,2016-02-20,New Zealand,normal,9,,AE Satterthwaite,New Zealand,Australia,Australia,field,K Cross,AL Gillies,Bay Oval
1683,2016,2016-02-22,Australia,normal,,8,MM Lanning,New Zealand,Australia,Australia,field,K Cross,AL Gillies,Bay Oval
1684,2015,2015-10-01,Pakistan,normal,131,,Yasir Shah,Zimbabwe,Pakistan,Zimbabwe,field,RSA Palliyaguruge,RB Tiffin,Harare Sports Club
1685,2015,2015-10-03,Zimbabwe,normal,5,,E Chigumbura,Zimbabwe,Pakistan,Pakistan,field,TJ Matibiri,RSA Palliyaguruge,Harare Sports Club
1686,2015,2015-10-05,Pakistan,normal,,7,Bilal Asif,Zimbabwe,Pakistan,Pakistan,field,TJ Matibiri,RSA Palliyaguruge,Harare Sports Club
1687,2015,2015-10-09,Zimbabwe,normal,,2,Sikandar Raza,Zimbabwe,Ireland,Zimbabwe,field,JD Cloete,RB Tiffin,Harare Sports Club
1688,2015,2015-10-11,Zimbabwe,normal,,5,CR Ervine,Zimbabwe,Ireland,Zimbabwe,field,JD Cloete,TJ Matibiri,Harare Sports Club
1689,2015,2015-10-13,Ireland,normal,,2,TJ Murtagh,Zimbabwe,Ireland,Ireland,field,JD Cloete,RB Tiffin,Harare Sports Club
1690,2015,2015-10-06,Pakistan,normal,,6,Anam Amin,Pakistan,Bangladesh,Bangladesh,bat,Asif Yaqoob,Zameer Haider,Southend Club Cricket Stadium
1691,2015,2015-10-16,Zimbabwe,normal,,8,WP Masakadza,Zimbabwe,Afghanistan,Afghanistan,bat,NJ Llong,RB Tiffin,Queens Sports Club
1692,2015,2015-10-18,Afghanistan,normal,58,,Mohammad Nabi,Zimbabwe,Afghanistan,Afghanistan,bat,NJ Llong,RB Tiffin,Queens Sports Club
1693,2015,2015-10-22,Afghanistan,normal,,3,Mohammad Shahzad,Zimbabwe,Afghanistan,Zimbabwe,bat,NJ Llong,TJ Matibiri,Queens Sports Club
1694,2015,2015-11-07,Bangladesh,normal,145,,Mushfiqur Rahim,Bangladesh,Zimbabwe,Zimbabwe,field,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium
1696,2015,2015-11-11,Bangladesh,normal,61,,Tamim Iqbal,Bangladesh,Zimbabwe,Bangladesh,bat,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium
1697,2016,2016-06-03,West Indies,normal,,4,SP Narine,West Indies,South Africa,South Africa,bat,RK Illingworth,JS Wilson,Providence Stadium
1699,2016,2016-06-07,South Africa,normal,47,,F Behardien,Australia,South Africa,South Africa,bat,RK Illingworth,JS Wilson,Providence Stadium
1700,2016,2016-06-11,Australia,normal,36,,DA Warner,Australia,South Africa,Australia,bat,NJ Llong,JS Wilson,"Warner Park, Basseterre"
1701,2016,2016-06-13,West Indies,normal,,4,MN Samuels,West Indies,Australia,West Indies,field,GO Brathwaite,RK Illingworth,"Warner Park, Basseterre"
1702,2016,2016-06-15,South Africa,normal,139,,Imran Tahir,West Indies,South Africa,West Indies,field,GO Brathwaite,NJ Llong,"Warner Park, Basseterre"
1703,2016,2016-06-19,NA,no result,,,NA,Australia,South Africa,Australia,field,HDPK Dharmasena,JS Wilson,"Kensington Oval, Bridgetown"
1704,2016,2016-06-21,Australia,normal,,6,MN Samuels,West Indies,Australia,Australia,field,GO Brathwaite,RA Kettleborough,"Kensington Oval, Bridgetown"
1705,2016,2016-06-24,West Indies,normal,100,,DM Bravo,West Indies,South Africa,South Africa,field,GO Brathwaite,HDPK Dharmasena,"Kensington Oval, Bridgetown"
1706,2016,2016-06-26,Australia,normal,58,,MR Marsh,West Indies,Australia,Australia,bat,RA Kettleborough,JS Wilson,"Kensington Oval, Bridgetown"
1707,2016,2016-10-11,South Africa,normal,,4,M du Preez,South Africa,New Zealand,South Africa,field,RN Hendricks,A Paleker,Diamond Oval
1708,2016,2016-10-17,New Zealand,normal,,8,NA,South Africa,New Zealand,New Zealand,field,RN Hendricks,BM White,Boland Park
1709,2016,2016-10-19,New Zealand,normal,95,,NC Dodd,South Africa,New Zealand,New Zealand,bat,A Paleker,BM White,Boland Park
1710,2016,2016-10-22,South Africa,normal,,5,M Klaas,South Africa,New Zealand,South Africa,field,RN Hendricks,A Paleker,Boland Park
1711,2016,2016-10-24,New Zealand,normal,126,,KJ Martin,South Africa,New Zealand,New Zealand,bat,A Paleker,BM White,Boland Park
1712,2016,2016-09-25,South Africa,normal,206,,T Bavuma,South Africa,Ireland,Ireland,field,S George,JS Wilson,Willowmoore Park
1713,2016,2016-09-27,Australia,normal,,9,UT Khawaja,Australia,Ireland,Ireland,bat,BP Jele,NJ Llong,Willowmoore Park
1714,2016,2016-09-30,South Africa,normal,,6,Q de Kock,South Africa,Australia,South Africa,field,BP Jele,JS Wilson,SuperSport Park
1715,2016,2016-10-02,South Africa,normal,142,,F du Plessis,South Africa,Australia,Australia,field,S George,NJ Llong,New Wanderers Stadium
1716,2016,2016-10-05,South Africa,normal,,4,DA Miller,South Africa,Australia,Australia,bat,AT Holdstock,JS Wilson,Kingsmead
1717,2016,2016-10-09,South Africa,normal,,6,KJ Abbott,South Africa,Australia,Australia,bat,AT Holdstock,NJ Llong,St George's Park
1718,2016,2016-10-12,South Africa,normal,31,,DA Warner,South Africa,Australia,South Africa,bat,S George,JS Wilson,Newlands
1719,2017,2017-01-28,South Africa,normal,,8,Imran Tahir,South Africa,Sri Lanka,South Africa,field,BP Jele,RA Kettleborough,St George's Park
1720,2017,2017-02-01,South Africa,normal,121,,F du Plessis,South Africa,Sri Lanka,Sri Lanka,field,S George,RK Illingworth,Kingsmead
1721,2017,2017-02-04,South Africa,normal,,7,D Pretorius,South Africa,Sri Lanka,South Africa,field,AT Holdstock,RA Kettleborough,New Wanderers Stadium
1722,2017,2017-02-07,South Africa,normal,40,,F du Plessis,South Africa,Sri Lanka,South Africa,bat,AT Holdstock,RK Illingworth,Newlands
1723,2017,2017-02-10,South Africa,normal,88,,HM Amla,South Africa,Sri Lanka,Sri Lanka,field,S George,RA Kettleborough,SuperSport Park
