id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1,2017,2017-01-13,Australia,normal,92,,MS Wade,Australia,Pakistan,Australia,bat,MD Martell,C Shamshuddin,"Brisbane Cricket Ground, Woolloongabba"
2,2017,2017-01-15,Pakistan,normal,,6,Mohammad Hafeez,Australia,Pakistan,Australia,bat,CB Gaffaney,P Wilson,Melbourne Cricket Ground
3,2017,2017-01-19,Australia,normal,,7,SPD Smith,Australia,Pakistan,Australia,field,SD Fry,C Shamshuddin,Western Australia Cricket Association Ground
4,2017,2017-01-22,Australia,normal,86,,DA Warner,Australia,Pakistan,Australia,bat,CB Gaffaney,MD Martell,Sydney Cricket Ground
5,2017,2017-01-26,Australia,normal,57,,DA Warner,Australia,Pakistan,Australia,bat,SD Fry,C Shamshuddin,Adelaide Oval
6,2016,2016-12-04,Australia,normal,68,,SPD Smith,Australia,New Zealand,Australia,bat,HDPK Dharmasena,MD Martell,Sydney Cricket Ground
7,2016,2016-12-06,Australia,normal,116,,DA Warner,Australia,New Zealand,New Zealand,field,HDPK Dharmasena,P Wilson,Manuka Oval
8,2016,2016-12-09,Australia,normal,117,,DA Warner,Australia,New Zealand,Australia,bat,NJ Llong,MD Martell,Melbourne Cricket Ground
9,2016,2016-07-04,NA,no result,,,NA,Scotland,Afghanistan,Scotland,field,M Hawthorne,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
10,2016,2016-07-06,Afghanistan,normal,78,,NA,Scotland,Afghanistan,Afghanistan,bat,M Hawthorne,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
11,2016,2016-09-08,NA,no result,,,NA,Scotland,Hong Kong,Hong Kong,field,GO Brathwaite,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
12,2016,2016-09-10,Scotland,normal,53,,NA,Scotland,Hong Kong,Scotland,bat,GO Brathwaite,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
13,2016,2016-06-11,India,normal,,9,KL Rahul,Zimbabwe,India,India,field,IJ Gould,RB Tiffin,Harare Sports Club
14,2016,2016-06-13,India,normal,,8,YS Chahal,Zimbabwe,India,India,field,IJ Gould,L Rusere,Harare Sports Club
15,2016,2016-06-15,India,normal,,10,KL Rahul,Zimbabwe,India,Zimbabwe,bat,IJ Gould,TJ Matibiri,Harare Sports Club
16,2016,2016-12-26,New Zealand,normal,77,,TWM Latham,New Zealand,Bangladesh,New Zealand,bat,WR Knights,C Shamshuddin,Hagley Oval
17,2016,2016-12-29,New Zealand,normal,67,,NT Broom,New Zealand,Bangladesh,Bangladesh,field,CM Brown,PR Reiffel,Saxton Oval
18,2016,2016-12-31,New Zealand,normal,,8,KS Williamson,New Zealand,Bangladesh,Bangladesh,bat,CM Brown,C Shamshuddin,Saxton Oval
19,2017,2017-01-30,New Zealand,normal,6,,MP Stoinis,New Zealand,Australia,Australia,field,WR Knights,RSA Palliyaguruge,Eden Park
20,2017,2017-02-05,New Zealand,normal,24,,TA Boult,New Zealand,Australia,New Zealand,bat,CM Brown,RSA Palliyaguruge,Seddon Park
21,2017,2017-02-19,South Africa,normal,,4,Q de Kock,New Zealand,South Africa,South Africa,field,WR Knights,JS Wilson,Seddon Park
22,2017,2017-02-22,New Zealand,normal,6,,LRPL Taylor,New Zealand,South Africa,South Africa,field,CM Brown,PR Reiffel,Hagley Oval
23,2017,2017-02-25,South Africa,normal,159,,AB de Villiers,New Zealand,South Africa,South Africa,bat,CM Brown,JS Wilson,Westpac Stadium
24,2017,2017-03-01,New Zealand,normal,,7,MJ Guptill,New Zealand,South Africa,South Africa,bat,WR Knights,PR Reiffel,Seddon Park
25,2017,2017-03-04,South Africa,normal,,6,K Rabada,New Zealand,South Africa,South Africa,field,CM Brown,JS Wilson,Eden Park
26,2017,2017-06-01,England,normal,,8,JE Root,England,Bangladesh,England,field,S Ravi,RJ Tucker,Kennington Oval
27,2017,2017-06-02,NA,no result,,,NA,Australia,New Zealand,New Zealand,bat,RK Illingworth,RA Kettleborough,Edgbaston
28,2017,2017-06-03,South Africa,normal,96,,Imran Tahir,South Africa,Sri Lanka,Sri Lanka,field,Aleem Dar,IJ Gould,Kennington Oval
29,2017,2017-06-04,India,normal,124,,Yuvraj Singh,India,Pakistan,Pakistan,field,HDPK Dharmasena,M Erasmus,Edgbaston
30,2017,2017-06-05,NA,no result,,,NA,Australia,Bangladesh,Bangladesh,bat,CB Gaffaney,NJ Llong,Kennington Oval
31,2017,2017-06-06,England,normal,87,,JT Ball,England,New Zealand,New Zealand,field,BNJ Oxenford,PR Reiffel,Sophia Gardens
32,2017,2017-06-07,Pakistan,normal,19,,Hasan Ali,Pakistan,South Africa,South Africa,bat,RK Illingworth,S Ravi,Edgbaston
36,2017,2017-06-11,India,normal,,8,JJ Bumrah,India,South Africa,India,field,Aleem Dar,PR Reiffel,Kennington Oval
37,2017,2017-06-12,Pakistan,normal,,3,Sarfraz Ahmed,Pakistan,Sri Lanka,Pakistan,field,M Erasmus,BNJ Oxenford,Sophia Gardens
39,2017,2017-06-15,India,normal,,9,RG Sharma,Bangladesh,India,India,field,HDPK Dharmasena,RA Kettleborough,Edgbaston
40,2017,2017-06-18,Pakistan,normal,180,,Fakhar Zaman,India,Pakistan,India,field,M Erasmus,RA Kettleborough,Kennington Oval
41,2016,2016-11-04,Hong Kong,normal,106,,Babar Hayat,Hong Kong,Papua New Guinea,Hong Kong,bat,Sharfuddoula,Tabarak Dar,"Mission Road Ground, Mong Kok"
34,2017,2017-06-09,Bangladesh,normal,,5,Shakib Al Hasan,Bangladesh,New Zealand,New Zealand,bat,IJ Gould,NJ Llong,Sophia Gardens
42,2016,2016-11-06,Papua New Guinea,normal,14,,CA Soper,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Sharfuddoula,Tabarak Dar,"Mission Road Ground, Mong Kok"
43,2016,2016-11-08,Hong Kong,normal,,7,Anshuman Rath,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Sharfuddoula,IA Thomson,"Mission Road Ground, Mong Kok"
44,2017,2017-03-03,England,normal,45,,EJG Morgan,West Indies,England,West Indies,field,GO Brathwaite,RSA Palliyaguruge,"Sir Vivian Richards Stadium, North Sound"
45,2017,2017-03-05,England,normal,,4,JE Root,West Indies,England,West Indies,bat,N Duguid,CB Gaffaney,"Sir Vivian Richards Stadium, North Sound"
46,2017,2017-03-09,England,normal,186,,AD Hales,West Indies,England,West Indies,field,GO Brathwaite,RSA Palliyaguruge,"Kensington Oval, Bridgetown"
47,2017,2017-05-05,England,normal,,7,AU Rashid,England,Ireland,Ireland,bat,Aleem Dar,RJ Bailey,County Ground
48,2017,2017-05-07,England,normal,85,,JE Root,England,Ireland,Ireland,field,PR Reiffel,RT Robinson,Lord's
49,2016,2016-10-07,England,normal,21,,JT Ball,Bangladesh,England,England,bat,M Erasmus,Sharfuddoula,Shere Bangla National Stadium
50,2016,2016-10-09,Bangladesh,normal,34,,Mashrafe Mortaza,Bangladesh,England,England,field,Aleem Dar,Sharfuddoula,Shere Bangla National Stadium
51,2016,2016-10-12,England,normal,,4,AU Rashid,Bangladesh,England,England,field,Anisur Rahman,M Erasmus,Zahur Ahmed Chowdhury Stadium
52,2016,2016-10-16,India,normal,,6,HH Pandya,India,New Zealand,India,field,BNJ Oxenford,C Shamshuddin,Himachal Pradesh Cricket Association Stadium
53,2016,2016-10-20,New Zealand,normal,6,,KS Williamson,India,New Zealand,India,field,AK Chaudhary,BNJ Oxenford,Feroz Shah Kotla
54,2016,2016-10-23,India,normal,,7,V Kohli,India,New Zealand,India,field,BNJ Oxenford,C Shamshuddin,"Punjab Cricket Association Stadium, Mohali"
55,2016,2016-10-26,New Zealand,normal,19,,MJ Guptill,India,New Zealand,New Zealand,bat,AK Chaudhary,BNJ Oxenford,JSCA International Stadium Complex
56,2016,2016-10-29,India,normal,190,,A Mishra,India,New Zealand,India,bat,CK Nandan,BNJ Oxenford,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
35,2017,2017-06-10,England,normal,40,,BA Stokes,England,Australia,England,field,HDPK Dharmasena,CB Gaffaney,Edgbaston
58,2017,2017-05-27,England,normal,2,,BA Stokes,England,South Africa,South Africa,field,RJ Bailey,CB Gaffaney,The Rose Bowl
59,2017,2017-05-29,South Africa,normal,,7,K Rabada,England,South Africa,South Africa,field,MA Gough,RJ Tucker,Lord's
57,2017,2017-05-24,England,normal,72,,MM Ali,England,South Africa,South Africa,field,RT Robinson,RJ Tucker,Headingley
60,2017,2017-05-12,NA,no result,,,NA,Ireland,Bangladesh,Ireland,field,IJ Gould,M Hawthorne,Malahide
61,2017,2017-05-14,New Zealand,normal,51,,MJ Santner,Ireland,New Zealand,Ireland,field,M Hawthorne,NJ Llong,Malahide
62,2017,2017-05-17,New Zealand,normal,,4,JDS Neesham,Bangladesh,New Zealand,New Zealand,field,IJ Gould,AJ Neill,Clontarf Cricket Club Ground
63,2017,2017-05-19,Bangladesh,normal,,8,Mustafizur Rahman,Ireland,Bangladesh,Bangladesh,field,R Black,RSA Palliyaguruge,Malahide
64,2017,2017-05-21,New Zealand,normal,190,,TWM Latham,Ireland,New Zealand,Ireland,field,AJ Neill,JS Wilson,Malahide
65,2017,2017-05-24,Bangladesh,normal,,5,Mushfiqur Rahim,Bangladesh,New Zealand,Bangladesh,field,R Black,RSA Palliyaguruge,Clontarf Cricket Club Ground
66,2017,2017-01-15,India,normal,,3,KM Jadhav,India,England,India,field,HDPK Dharmasena,CK Nandan,Maharashtra Cricket Association Stadium
67,2017,2017-01-19,India,normal,15,,Yuvraj Singh,India,England,England,field,AK Chaudhary,RSA Palliyaguruge,Barabati Stadium
68,2017,2017-01-22,England,normal,5,,BA Stokes,India,England,India,field,AK Chaudhary,HDPK Dharmasena,Eden Gardens
69,2017,2017-03-15,Afghanistan,normal,30,,WTS Porterfield,Afghanistan,Ireland,Afghanistan,bat,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground
70,2017,2017-03-17,Afghanistan,normal,34,,PR Stirling,Afghanistan,Ireland,Afghanistan,bat,Ahmed Shah Durrani,AK Chaudhary,Greater Noida Sports Complex Ground
71,2017,2017-03-19,Ireland,normal,,6,PR Stirling,Afghanistan,Ireland,Afghanistan,bat,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground
72,2017,2017-03-22,Ireland,normal,,3,KJ O'Brien,Afghanistan,Ireland,Afghanistan,bat,Ahmed Shah Durrani,AK Chaudhary,Greater Noida Sports Complex Ground
73,2017,2017-03-24,Afghanistan,normal,,7,Rahmat Shah,Afghanistan,Ireland,Ireland,bat,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground
74,2017,2017-01-18,South Africa,normal,94,,M du Preez,Bangladesh,South Africa,South Africa,bat,Anisur Rahman,Tanvir Ahmed,Sheikh Kamal International Cricket Stadium
75,2017,2017-01-20,South Africa,normal,,8,O Kirsten,Bangladesh,South Africa,Bangladesh,bat,Anisur Rahman,Mahfuzur Rahman,Sheikh Kamal International Cricket Stadium
76,2016,2016-11-18,Australia,normal,,2,EA Perry,Australia,South Africa,South Africa,bat,GJ Davidson,GC Joshua,Manuka Oval
77,2016,2016-11-20,Australia,normal,66,,MM Lanning,Australia,South Africa,Australia,bat,GC Joshua,CA Polosak,Manuka Oval
78,2016,2016-11-29,Australia,normal,43,,EA Perry,Australia,South Africa,South Africa,field,PJ Gillespie,JD Ward,International Sports Stadium
79,2016,2016-09-18,Australia,normal,,4,NA,Sri Lanka,Australia,Sri Lanka,bat,RA Kottahachchi,RMPJ Rambukwella,Rangiri Dambulla International Stadium
80,2016,2016-09-25,Australia,normal,137,,NE Bolton,Sri Lanka,Australia,Australia,bat,JWHD Boteju,RR Wimalasiri,Khettarama Stadium
81,2016,2016-09-30,Pakistan,normal,111,,Babar Azam,Pakistan,West Indies,West Indies,field,Ahsan Raza,RSA Palliyaguruge,Sharjah Cricket Stadium
82,2016,2016-10-02,Pakistan,normal,59,,Babar Azam,Pakistan,West Indies,Pakistan,bat,S Ravi,Shozab Raza,Sharjah Cricket Stadium
83,2016,2016-10-05,Pakistan,normal,136,,Babar Azam,Pakistan,West Indies,Pakistan,bat,Ahsan Raza,RSA Palliyaguruge,Sheikh Zayed Stadium
84,2016,2016-11-11,New Zealand,normal,60,,NA,New Zealand,Pakistan,New Zealand,bat,JAK Bromley,ED Sanders,Bert Sutcliffe Oval
85,2016,2016-11-13,New Zealand,normal,,8,NA,New Zealand,Pakistan,Pakistan,bat,K Cross,ED Sanders,Bert Sutcliffe Oval
38,2017,2017-06-14,Pakistan,normal,,8,Hasan Ali,England,Pakistan,Pakistan,field,M Erasmus,RJ Tucker,Sophia Gardens
87,2017,2017-02-26,New Zealand,normal,,5,AE Satterthwaite,New Zealand,Australia,Australia,bat,K Cross,GA Stirrat,Eden Park No 2
86,2016,2016-11-17,New Zealand,normal,,7,NA,New Zealand,Pakistan,New Zealand,field,JM Dempsey,RG Hooper,Saxton Oval
88,2017,2017-03-02,Australia,normal,,4,AJ Blackwell,New Zealand,Australia,Australia,field,RG Hooper,GA Stirrat,Bay Oval
91,2016,2016-09-28,Afghanistan,normal,,2,Mohammad Nabi,Bangladesh,Afghanistan,Afghanistan,field,Anisur Rahman,C Shamshuddin,Shere Bangla National Stadium
92,2016,2016-10-01,Bangladesh,normal,141,,Tamim Iqbal,Bangladesh,Afghanistan,Bangladesh,bat,C Shamshuddin,Sharfuddoula,Shere Bangla National Stadium
93,2016,2016-11-15,England,normal,,5,NA,Sri Lanka,England,Sri Lanka,bat,ID Gunawardene,RR Wimalasiri,R Premadasa Stadium
94,2016,2016-11-17,England,normal,162,,NA,Sri Lanka,England,England,bat,WN de Silva,RSA Palliyaguruge,R Premadasa Stadium
95,2016,2016-11-14,Sri Lanka,normal,,8,DM de Silva,Zimbabwe,Sri Lanka,Sri Lanka,field,C Shamshuddin,RB Tiffin,Harare Sports Club
96,2016,2016-11-16,West Indies,normal,62,,JO Holder,Sri Lanka,West Indies,Sri Lanka,field,M Erasmus,RB Tiffin,Harare Sports Club
97,2016,2016-11-19,NA,tie,,,SD Hope,Zimbabwe,West Indies,Zimbabwe,bat,C Shamshuddin,RB Tiffin,Queens Sports Club
98,2016,2016-11-21,NA,no result,,,NA,Zimbabwe,Sri Lanka,Zimbabwe,bat,MA Gough,L Rusere,Queens Sports Club
99,2016,2016-11-23,Sri Lanka,normal,1,,BKG Mendis,Sri Lanka,West Indies,West Indies,field,RK Illingworth,TJ Matibiri,Queens Sports Club
100,2016,2016-11-25,Zimbabwe,normal,5,,TS Chisoro,Zimbabwe,West Indies,Zimbabwe,bat,MA Gough,TJ Matibiri,Queens Sports Club
101,2016,2016-11-27,Sri Lanka,normal,,6,BKG Mendis,Zimbabwe,Sri Lanka,Zimbabwe,bat,RK Illingworth,TJ Matibiri,Queens Sports Club
102,2016,2016-11-09,England,normal,,8,NA,Sri Lanka,England,Sri Lanka,bat,RD Kottahachchi,PN Udawatta,Sinhalese Sports Club Ground
103,2017,2017-04-02,Papua New Guinea,normal,26,,NA,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Akbar Ali,Shozab Raza,Sheikh Zayed Stadium
104,2017,2017-02-07,India,normal,114,,DP Vaidya,Sri Lanka,India,India,bat,CA Polosak,LS Reifer,P Sara Oval
105,2017,2017-02-07,South Africa,normal,63,,CL Tryon,Pakistan,South Africa,South Africa,bat,K Cross,RR Wimalasiri,Nondescripts Cricket Club Ground
106,2017,2017-02-08,Sri Lanka,normal,146,,SIP Fernando,Sri Lanka,Ireland,Sri Lanka,bat,K Cross,IN Ramage,Nondescripts Cricket Club Ground
107,2017,2017-02-08,Pakistan,normal,67,,Ghulam Fatima,Bangladesh,Pakistan,Pakistan,bat,CA Polosak,RR Wimalasiri,P Sara Oval
108,2017,2017-02-10,India,normal,125,,MDT Kamini,India,Ireland,India,bat,IN Ramage,S Redfern,P Sara Oval
109,2017,2017-02-11,South Africa,normal,,6,S Ismail,Bangladesh,South Africa,Bangladesh,bat,AK Chaudhary,JM Williams,P Sara Oval
110,2017,2017-02-15,India,normal,49,,M Raj,India,South Africa,South Africa,field,K Cross,RR Wimalasiri,P Sara Oval
111,2017,2017-02-15,Sri Lanka,normal,,5,LE Kaushalya,Sri Lanka,Pakistan,Sri Lanka,field,AK Chaudhary,S Redfern,Nondescripts Cricket Club Ground
112,2017,2017-02-15,Bangladesh,normal,,7,Jahanara Alam,Bangladesh,Ireland,Bangladesh,field,LS Reifer,JM Williams,Colombo Cricket Club Ground
113,2017,2017-02-17,South Africa,normal,,9,S Luus,Sri Lanka,South Africa,Sri Lanka,bat,CA Polosak,IN Ramage,P Sara Oval
114,2017,2017-02-17,India,normal,,9,MR Meshram,Bangladesh,India,India,field,M Hawthorne,RR Wimalasiri,Nondescripts Cricket Club Ground
115,2017,2017-02-17,Pakistan,normal,86,,Javeria Khan,Ireland,Pakistan,Pakistan,bat,AK Chaudhary,K Cross,Colombo Cricket Club Ground
116,2017,2017-02-19,India,normal,,7,E Bisht,India,Pakistan,India,field,CA Polosak,RR Wimalasiri,P Sara Oval
117,2017,2017-02-19,Sri Lanka,normal,42,,AC Jayangani,Sri Lanka,Bangladesh,Bangladesh,field,M Hawthorne,JM Williams,Nondescripts Cricket Club Ground
118,2017,2017-02-19,South Africa,normal,36,,NA,Ireland,South Africa,Ireland,bat,IN Ramage,LS Reifer,Colombo Cricket Club Ground
89,2017,2017-03-05,Australia,normal,,5,MM Lanning,New Zealand,Australia,Australia,field,K Cross,RG Hooper,Bay Oval
119,2017,2017-02-21,India,normal,,1,DB Sharma,India,South Africa,South Africa,bat,K Cross,CA Polosak,P Sara Oval
120,2017,2017-04-07,West Indies,normal,,4,JN Mohammed,West Indies,Pakistan,West Indies,field,SD Fry,JS Wilson,Providence Stadium
121,2017,2017-04-09,Pakistan,normal,74,,Babar Azam,West Indies,Pakistan,West Indies,field,GO Brathwaite,IJ Gould,Providence Stadium
122,2017,2017-04-11,Pakistan,normal,,6,Shoaib Malik,West Indies,Pakistan,West Indies,bat,SD Fry,JS Wilson,Providence Stadium
123,2017,2017-01-22,Hong Kong,normal,,7,Babar Hayat,Hong Kong,Scotland,Hong Kong,field,Akbar Ali,Iftikhar Ali,Sheikh Zayed Stadium
124,2017,2017-01-24,United Arab Emirates,normal,,4,Adnan Mufti,United Arab Emirates,Scotland,Scotland,bat,Akbar Ali,Tabarak Dar,Dubai International Cricket Stadium
125,2017,2017-01-26,United Arab Emirates,normal,,6,Imran Haider,United Arab Emirates,Hong Kong,United Arab Emirates,field,AJT Dowdalls,Iftikhar Ali,Dubai International Cricket Stadium
126,2017,2017-02-16,Afghanistan,normal,12,,Asghar Stanikzai,Zimbabwe,Afghanistan,Afghanistan,bat,S George,RB Tiffin,Harare Sports Club
127,2017,2017-02-19,Afghanistan,normal,54,,Rashid Khan,Zimbabwe,Afghanistan,Afghanistan,bat,S George,RB Tiffin,Harare Sports Club
128,2017,2017-02-21,Zimbabwe,normal,3,,TL Chatara,Zimbabwe,Afghanistan,Zimbabwe,bat,S George,L Rusere,Harare Sports Club
129,2017,2017-02-24,Zimbabwe,normal,,7,CB Mpofu,Zimbabwe,Afghanistan,Afghanistan,bat,S George,TJ Matibiri,Harare Sports Club
130,2017,2017-02-26,Afghanistan,normal,106,,Rahmat Shah,Zimbabwe,Afghanistan,Afghanistan,bat,S George,TJ Matibiri,Harare Sports Club
131,2017,2017-03-02,Ireland,normal,85,,WTS Porterfield,United Arab Emirates,Ireland,United Arab Emirates,field,Ahsan Raza,Iftikhar Ali,ICC Global Cricket Academy
132,2017,2017-03-04,Ireland,normal,,8,WTS Porterfield,United Arab Emirates,Ireland,United Arab Emirates,bat,Ahsan Raza,Akbar Ali,ICC Global Cricket Academy
133,2017,2017-03-25,Bangladesh,normal,90,,Tamim Iqbal,Sri Lanka,Bangladesh,Sri Lanka,field,MA Gough,REJ Martinesz,Rangiri Dambulla International Stadium
134,2017,2017-03-28,NA,no result,,,NA,Sri Lanka,Bangladesh,Sri Lanka,bat,RSA Palliyaguruge,S Ravi,Rangiri Dambulla International Stadium
135,2017,2017-04-01,Sri Lanka,normal,70,,NLTC Perera,Sri Lanka,Bangladesh,Bangladesh,field,MA Gough,RSA Palliyaguruge,Sinhalese Sports Club Ground
136,2017,2017-06-24,New Zealand,normal,,9,HR Huddleston,New Zealand,Sri Lanka,New Zealand,field,AK Chaudhary,CA Polosak,County Ground
137,2017,2017-06-24,India,normal,35,,S Mandhana,England,India,England,field,Ahsan Raza,GO Brathwaite,County Ground
138,2017,2017-06-25,South Africa,normal,,3,S Ismail,Pakistan,South Africa,South Africa,field,L Rusere,Sharfuddoula,Grace Road
139,2017,2017-06-26,Australia,normal,,8,NE Bolton,Australia,West Indies,West Indies,bat,K Cross,AT Holdstock,County Ground
140,2017,2017-06-27,England,normal,107,,NR Sciver,England,Pakistan,Pakistan,field,CM Brown,JM Williams,Grace Road
141,2017,2017-06-29,India,normal,,7,S Mandhana,India,West Indies,India,field,S George,CA Polosak,County Ground
142,2017,2017-06-29,Australia,normal,,8,AC Jayangani,Australia,Sri Lanka,Australia,field,AK Chaudhary,S Redfern,County Ground
143,2017,2017-07-02,England,normal,,7,LA Marsh,England,Sri Lanka,Sri Lanka,bat,K Cross,AT Holdstock,County Ground
144,2017,2017-07-02,Australia,normal,,5,EA Perry,Australia,New Zealand,New Zealand,bat,Ahsan Raza,JM Williams,County Ground
145,2017,2017-07-02,India,normal,95,,E Bisht,India,Pakistan,India,bat,GO Brathwaite,S George,County Ground
146,2017,2017-07-02,South Africa,normal,,10,M Kapp,South Africa,West Indies,South Africa,field,S Redfern,Sharfuddoula,Grace Road
147,2017,2017-07-05,England,normal,68,,SJ Taylor,England,South Africa,England,bat,K Cross,P Wilson,County Ground
148,2017,2017-07-05,India,normal,16,,DB Sharma,India,Sri Lanka,India,bat,CM Brown,L Rusere,County Ground
149,2017,2017-07-05,Australia,normal,159,,EJ Villani,Australia,Pakistan,Australia,bat,AK Chaudhary,S Redfern,Grace Road
150,2017,2017-07-06,New Zealand,normal,,8,LM Kasperek,New Zealand,West Indies,New Zealand,field,Ahsan Raza,AT Holdstock,County Ground
151,2017,2017-07-08,New Zealand,normal,,8,HM Rowe,New Zealand,Pakistan,Pakistan,bat,GO Brathwaite,Sharfuddoula,County Ground
152,2017,2017-07-08,South Africa,normal,115,,D van Niekerk,India,South Africa,India,field,JM Williams,P Wilson,Grace Road
153,2017,2017-07-09,England,normal,3,,KH Brunt,England,Australia,England,bat,CM Brown,AT Holdstock,County Ground
154,2017,2017-07-09,West Indies,normal,47,,A Mohammed,Sri Lanka,West Indies,Sri Lanka,field,S George,CA Polosak,County Ground
155,2017,2017-07-11,West Indies,normal,19,,DJS Dottin,Pakistan,West Indies,Pakistan,field,S Redfern,L Rusere,Grace Road
33,2017,2017-06-08,Sri Lanka,normal,,7,BKG Mendis,India,Sri Lanka,Sri Lanka,field,RA Kettleborough,RJ Tucker,Kennington Oval
156,2017,2017-07-12,South Africa,normal,,8,D van Niekerk,South Africa,Sri Lanka,Sri Lanka,bat,GO Brathwaite,K Cross,County Ground
157,2017,2017-07-12,Australia,normal,,8,MM Lanning,Australia,India,Australia,field,AT Holdstock,Sharfuddoula,County Ground
90,2016,2016-09-25,Bangladesh,normal,7,,Shakib Al Hasan,Bangladesh,Afghanistan,Bangladesh,bat,C Shamshuddin,Sharfuddoula,Shere Bangla National Stadium
160,2017,2017-07-15,England,normal,92,,HC Knight,England,West Indies,West Indies,field,AK Chaudhary,P Wilson,County Ground
162,2017,2017-07-15,Sri Lanka,normal,15,,HHC Gunaratne,Pakistan,Sri Lanka,Sri Lanka,bat,K Cross,S Redfern,Grace Road
163,2017,2017-04-04,United Arab Emirates,normal,103,,NA,United Arab Emirates,Papua New Guinea,United Arab Emirates,bat,Akbar Ali,Shozab Raza,Sheikh Zayed Stadium
164,2017,2017-06-15,Scotland,normal,26,,NA,Scotland,Zimbabwe,Scotland,bat,RSA Palliyaguruge,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
165,2017,2017-06-17,Zimbabwe,normal,,6,NA,Scotland,Zimbabwe,Scotland,bat,RSA Palliyaguruge,IN Ramage,"Grange Cricket Club Ground, Raeburn Place"
166,2017,2017-05-07,India,normal,,10,DB Sharma,India,Ireland,India,field,AT Holdstock,A Jacobs,North-West University No1 Ground
167,2017,2017-05-09,India,normal,,7,S Pandey,South Africa,India,India,field,AT Holdstock,A Jacobs,North-West University No1 Ground
168,2017,2017-05-11,South Africa,normal,178,,L Wolvaardt,South Africa,Ireland,South Africa,bat,AT Holdstock,TC Mokorosi,Senwes Park
169,2017,2017-05-17,South Africa,normal,8,,CL Tryon,South Africa,India,India,field,BP Jele,TC Mokorosi,Senwes Park
170,2017,2017-05-19,South Africa,normal,120,,A Steyn,South Africa,Ireland,South Africa,bat,AT Holdstock,A Jacobs,North-West University No1 Ground
171,2017,2017-05-21,India,normal,,8,PG Raut,South Africa,India,India,field,AT Holdstock,BP Jele,Senwes Park
172,2017,2017-06-09,Afghanistan,normal,63,,Rashid Khan,West Indies,Afghanistan,Afghanistan,bat,C Shamshuddin,JS Wilson,"Darren Sammy National Cricket Stadium, Gros Islet"
173,2017,2017-06-11,West Indies,normal,,4,SD Hope,West Indies,Afghanistan,Afghanistan,bat,N Duguid,C Shamshuddin,"Darren Sammy National Cricket Stadium, Gros Islet"
174,2017,2017-06-23,NA,no result,,,NA,West Indies,India,West Indies,field,HDPK Dharmasena,JS Wilson,"Queen's Park Oval, Port of Spain"
175,2017,2017-06-25,India,normal,105,,AM Rahane,West Indies,India,West Indies,field,N Duguid,CB Gaffaney,"Queen's Park Oval, Port of Spain"
176,2017,2017-06-30,India,normal,93,,MS Dhoni,West Indies,India,West Indies,field,HDPK Dharmasena,N Duguid,"Sir Vivian Richards Stadium, North Sound"
177,2017,2017-07-02,West Indies,normal,11,,JO Holder,West Indies,India,West Indies,bat,CB Gaffaney,JS Wilson,"Sir Vivian Richards Stadium, North Sound"
178,2017,2017-07-06,India,normal,,8,V Kohli,West Indies,India,West Indies,bat,HDPK Dharmasena,LS Reifer,"Sabina Park, Kingston"
179,2017,2017-06-30,Zimbabwe,normal,,6,SF Mire,Sri Lanka,Zimbabwe,Sri Lanka,bat,IJ Gould,RSA Palliyaguruge,Galle International Stadium
180,2017,2017-07-02,Sri Lanka,normal,,7,PADLR Sandakan,Sri Lanka,Zimbabwe,Sri Lanka,field,NJ Llong,RSA Palliyaguruge,Galle International Stadium
181,2017,2017-07-06,Sri Lanka,normal,,8,MD Gunathilaka,Sri Lanka,Zimbabwe,Sri Lanka,field,IJ Gould,REJ Martinesz,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
182,2017,2017-07-08,Zimbabwe,normal,,4,CR Ervine,Sri Lanka,Zimbabwe,Sri Lanka,bat,NJ Llong,REJ Martinesz,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
183,2017,2017-07-10,Zimbabwe,normal,,3,Sikandar Raza,Sri Lanka,Zimbabwe,Zimbabwe,field,IJ Gould,RR Wimalasiri,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
184,2019,2019-01-19,Pakistan,normal,,5,Mohammad Hafeez,South Africa,Pakistan,South Africa,bat,A Paleker,GO Brathwaite,St George's Park
185,2019,2019-01-22,South Africa,normal,,5,AL Phehlukwayo,South Africa,Pakistan,South Africa,field,BP Jele,PR Reiffel,Kingsmead
159,2017,2017-07-15,Australia,normal,59,,EA Perry,Australia,South Africa,Australia,bat,CM Brown,L Rusere,County Ground
